,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
875,5328,78330,Anuj KALE,80447,Bokka NAVANEETH,5292,Uganda International Challenge 2025,2025-02-19,QF,Loss,78330,1
876,2131,83856,IRA SHARMA,62853,Fathimath Nabaaha ABDUL RAZZAQ,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,83856,2
877,2130,83856,IRA SHARMA,81727,Kavipriya SELVAM,5292,Uganda International Challenge 2025,2025-02-19,QF,Loss,83856,1
878,3803,95523,Aditya DIWAKAR,65857,Chongo Ezra MULENGA,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,95523,1
879,3802,95523,Aditya DIWAKAR,63824,Bruno AGABA,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,95523,2
880,3800,95523,Aditya DIWAKAR,56434,Akshan SHETTY,5292,Uganda International Challenge 2025,2025-02-19,SF,Loss,95523,2
881,4028,86857,Lakshay MALIK,92224,Alyaan MAWANI,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,86857,1
882,2103,59500,Shreya LELE,92109,Sri Nitya NARAHARISETTI,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,59500,2
883,2102,59500,Shreya LELE,84178,Wiktoria DABCZYNSKA,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,59500,2
884,2101,59500,Shreya LELE,79078,Keisha Fatimah AZZAHRA,5292,Uganda International Challenge 2025,2025-02-19,QF,Win,59500,2
885,3796,81762,RAJAIN ABHIMANYU,24881,Regis MUSABENDE,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,81762,2
886,5198,73760,Amaan MOHAMMAD,77864,Muzafaru LUBEGA,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,73760,1
887,2098,59500,Shreya LELE,87885,Neslihan ARIN,5292,Uganda International Challenge 2025,2025-02-19,SF,Loss,59500,2
888,5197,73760,Amaan MOHAMMAD,84666,Dhruv RAWAT,5292,Uganda International Challenge 2025,2025-02-19,QF,Loss,73760,2
889,1028,61880,Lakshay SHARMA,23080,Raghavendra HARI,5292,Uganda International Challenge 2025,2025-02-19,Qual. R32,Win,61880,1
890,5199,73760,Amaan MOHAMMAD,70219,Hussein SHAHEED,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,73760,2
891,3790,56434,Akshan SHETTY,50572,Agil GABILOV,5292,Uganda International Challenge 2025,2025-02-19,QF,Win,56434,1
