athlete_id,athlete_name,tournament_date,world_ranking,world_tour_ranking,olympic_rank
68870,Lakshya SEN,2023-05-02,23,20,
68870,Lakshya SEN,2023-05-09,23,20,
68870,Lakshya SEN,2023-05-16,22,20,
68870,Lakshya SEN,2023-05-23,22,20,
68870,Lakshya SEN,2023-05-30,23,22,
68870,Lakshya SEN,2023-06-06,19,11,
68870,Lakshya SEN,2023-06-13,20,14,
68870,Lakshya SEN,2023-06-20,18,15,
68870,Lakshya SEN,2023-06-27,19,15,
68870,Lakshya SEN,2023-07-04,19,15,
68870,Lakshya SEN,2023-07-11,12,7,
68870,Lakshya SEN,2023-07-18,12,5,
68870,Lakshya SEN,2023-07-25,13,6,
68870,Lakshya SEN,2023-08-01,11,4,
68870,Lakshya SEN,2023-08-08,11,4,
68870,Lakshya SEN,2023-08-15,11,4,
68870,Lakshya SEN,2023-08-22,11,4,
68870,Lakshya SEN,2023-08-29,12,4,
68870,Lakshya SEN,2023-09-05,12,4,
68870,Lakshya SEN,2023-09-12,13,6,
68870,Lakshya SEN,2023-09-19,14,11,
68870,Lakshya SEN,2023-09-26,14,11,
68870,Lakshya SEN,2023-10-03,14,11,
68870,Lakshya SEN,2023-10-10,15,11,
68870,Lakshya SEN,2023-10-17,16,11,
68870,Lakshya SEN,2023-10-24,17,13,
68870,Lakshya SEN,2023-10-31,17,14,
68870,Lakshya SEN,2023-11-07,17,16,
68870,Lakshya SEN,2023-11-14,17,16,
68870,Lakshya SEN,2023-11-21,17,17,
68870,Lakshya SEN,2023-11-28,17,18,
68870,Lakshya SEN,2023-12-05,17,18,
68870,Lakshya SEN,2023-12-12,16,18,
68870,Lakshya SEN,2023-12-19,16,18,
68870,Lakshya SEN,2023-12-26,16,18,
68870,Lakshya SEN,2024-01-02,16,18,
68870,Lakshya SEN,2024-01-09,16,18,
68870,Lakshya SEN,2024-01-16,19,44,
68870,Lakshya SEN,2024-01-23,19,42,
68870,Lakshya SEN,2024-01-30,20,30,
68870,Lakshya SEN,2024-02-06,19,34,
68870,Lakshya SEN,2024-02-13,19,34,
68870,Lakshya SEN,2024-02-20,19,34,
68870,Lakshya SEN,2024-02-27,19,34,
68870,Lakshya SEN,2024-03-05,19,37,
68870,Lakshya SEN,2024-03-12,18,19,
68870,Lakshya SEN,2024-03-19,13,11,
68870,Lakshya SEN,2024-03-26,13,8,
68870,Lakshya SEN,2024-04-02,13,12,
68870,Lakshya SEN,2024-04-09,13,12,
68870,Lakshya SEN,2024-04-16,13,12,
68870,Lakshya SEN,2024-04-23,13,12,
68870,Lakshya SEN,2024-04-30,13,12,
68870,Lakshya SEN,2024-05-07,11,12,
68870,Lakshya SEN,2024-05-14,11,12,
68870,Lakshya SEN,2024-05-21,14,14,
68870,Lakshya SEN,2024-05-28,14,19,
68870,Lakshya SEN,2024-06-04,14,22,
68870,Lakshya SEN,2024-06-11,14,18,
68870,Lakshya SEN,2024-06-18,14,19,
68870,Lakshya SEN,2024-06-25,14,19,
68870,Lakshya SEN,2024-07-02,14,19,
68870,Lakshya SEN,2024-07-09,19,24,
68870,Lakshya SEN,2024-07-16,19,24,
68870,Lakshya SEN,2024-07-23,18,24,
68870,Lakshya SEN,2024-07-30,22,24,
68870,Lakshya SEN,2024-08-06,16,24,
68870,Lakshya SEN,2024-08-13,16,24,
68870,Lakshya SEN,2024-08-20,16,24,
68870,Lakshya SEN,2024-08-27,18,29,
68870,Lakshya SEN,2024-09-03,18,30,
68870,Lakshya SEN,2024-09-10,18,31,
68870,Lakshya SEN,2024-09-17,18,33,
68870,Lakshya SEN,2024-09-24,20,36,
68870,Lakshya SEN,2024-10-01,20,36,
68870,Lakshya SEN,2024-10-08,19,36,
68870,Lakshya SEN,2024-10-15,17,36,
68870,Lakshya SEN,2024-10-22,17,35,
68870,Lakshya SEN,2024-10-29,17,35,
68870,Lakshya SEN,2024-11-05,17,35,
68870,Lakshya SEN,2024-11-12,17,35,
68870,Lakshya SEN,2024-11-19,17,35,
68870,Lakshya SEN,2024-11-26,14,30,
68870,Lakshya SEN,2024-12-03,12,30,
68870,Lakshya SEN,2024-12-10,12,30,
68870,Lakshya SEN,2024-12-17,12,30,
68870,Lakshya SEN,2024-12-24,12,30,
